Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Day 1,Day 2,Day 3,Day 4
ASV00012,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA,NA,0.001582905,0.024355344,0.479022288,5.631365383
ASV00080,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA,0.01347724,0.039699667,0.072222037,0.515712711
ASV00047,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA,NA,0.010813032,0.380110875,0.963243927,0.656719026
ASV00031,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,NA,0.172297438,0.596871186,1.460154337,0.883033837
ASV00022,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,0.075136198,0.366837686,2.156671544,1.937003908
ASV00029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,BRH-c57,NA,0.098579874,0.102813058,0.515727393,0.871790585
ASV00007,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,5.195149323,7.054815767,8.888330868,14.88208016
ASV00073,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,0.518444235,0.509221404,0.520612618,0.250144749
ASV00026,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,0.984217657,0.912349976,0.302549097,0.168732893
ASV00076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,brassicae,0.394795228,0.67248142,0.664132082,0.33924725
10_N_aquibiodomus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor,aquibiodomus,0,0,0,0
15_T_dalianensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,dalianensis,0,0,0,0
14_C_halophilus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,halophilus,0,0,0,0
16_R_aestuari,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,aestuarii,0,0,0,0
04_R_calidilacus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibaca,calidilacus,0,0,0,0
ASV00001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,eburneus,3.787661658,2.21443299,1.159502743,1.772611893
06_D_eberneus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,eberneus,0,0,0,0
01_R_mobilis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,mobilis,0,0,0,0
03_P_gallaeciensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter gallaeciensis,,0,0,0,0
ASV00014,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA,0.962109339,1.15285669,1.370189875,2.766708396
ASV00023,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus,oleivorans,4.963157878,3.414764579,1.266605498,0.309905149
ASV00036,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA,0.811599552,0.348405974,0.324468982,0.439709364
ASV00019,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,litoralis,3.412760624,2.184606776,1.746077316,1.473676927
ASV00035,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA,1.061827472,1.842038306,1.995517226,1.34810155
ASV00004,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA,19.65799438,32.82051481,19.55357843,9.894038302
ASV00040,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA,1.263440074,0.494777972,0.174679144,0.083730542
ASV00042,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA,2.085572696,0.679285567,0.550518482,0.139262174
09_H_campaniensis,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,campaniensis,0,0,0,0
13_H_aestuarii,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,aestuarii,0,0,0,0
12_H_saccharevitans,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,saccharevitans,0,0,0,0
ASV00025,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,3.078070037,1.886672522,0.967241279,0.209987488
ASV00003,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,31.81298131,27.47290921,17.99029587,5.643425563
ASV00021,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,0.954746945,0.548721891,0.391251913,0.386247541
ASV00024,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,2.918149131,1.181159635,0.97446432,0.992775958
18_V_tubiashii,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,tubiashii,0,0,0,0
19_P_shioyasakaiensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,shioyasakaiensis,0,0,0,0
17_A_australica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,australica,0,0,0,0
ASV00037,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,0.605350297,0.167655795,0.341424662,0.076888285
11_A_macleodii,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,macleodii,0,0,0,0
