Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Day 1,Day 2,Day 3,Day 4
ASV00029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,BRH-c57,NA,0.09857987354940077,0.10281305810035062,0.515727392628228,0.8717905847134538
ASV00030,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,NA,0.24801756269734462,0.1452810153780799,0.9910228248821072,1.8944332935105415
ASV00031,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,NA,0.17229743846206325,0.5968711857235168,1.4601543367857908,0.8830338367336689
ASV00034,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,0.03172799595714573,0.1412746009870297,0.7919173742904301,4.695982402531467
ASV00035,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA,1.0618274717269818,1.8420383064298769,1.9955172264521515,1.3481015500706066
ASV00036,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA,0.8115995517071714,0.3484059738864304,0.3244689816006865,0.4397093640909293
ASV00037,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,0.6053502966415049,0.16765579498027247,0.341424661821194,0.07688828538045418
ASV00039,Bacteria,Fibrobacteres,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,Chitinivibrio,NA,0.06834372821088901,0.4576813194265534,2.3000224005982006,0.3280272436076473
ASV00040,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA,1.263440074454704,0.49477797207451024,0.174679143649501,0.0837305424353209
ASV00042,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA,2.085572695938817,0.6792855670196601,0.5505184821022052,0.13926217431291746
ASV00047,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA,NA,0.01081303186600491,0.3801108749036765,0.963243927241388,0.6567190256092987
ASV00057,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA,0.10747213858654144,0.5164419742447577,0.33391890903097426,0.7846411082509669
ASV00073,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,0.518444235410802,0.5092214041818529,0.5206126178709307,0.2501447494628253
ASV00076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,brassicae,0.394795228364021,0.6724814199590398,0.6641320823734179,0.3392472500542147
ASV00080,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA,0.013477239682601443,0.039699667194522455,0.07222203741876711,0.5157127107008899
ASV00103,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,0.011535854487111504,0.10281305810035062,0.2615195833119073,1.2269275508521642
ASV00125,Bacteria,NA,NA,NA,NA,NA,NA,0.0,0.011872101675307138,0.3849591659532219,1.3571680030809483
ASV00131,Bacteria,Fibrobacteres,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,Chitinivibrio,NA,0.009373248113910522,0.14682471024856783,0.5647540725041124,0.05448236668099269
ASV00146,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,MSBL8,NA,NA,0.02911462427577372,0.0030444180594879286,0.20866451598281058,1.0278357005003746
