GG OTU,KEGG,ASV,Gene copies,Abundance (%),Contribution (%),Phylum,Class,Order,Family,Genus,Species
974121,K03933,ASV6268,2,0.001741305,0.00124435,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03933,ASV2363,2,0.001741305,0.00124435,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
939811,K03933,ASV0556,1,2.03856254,0.728386503,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K03933,ASV0024,1,2.03856254,0.728386503,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K03933,ASV4239,1,2.03856254,0.728386503,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
410196,K03933,ASV0814,1,0.000476497,0.000170254,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA
585394,K03933,ASV1952,2,0.006971313,0.004981756,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
1065974,K03933,ASV4884,1,0.000952994,0.000340509,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,NA
1065974,K03933,ASV0907,1,0.000952994,0.000340509,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,pasteurii
585063,K03933,ASV2608,1,0.001375676,0.000491535,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA,NA
585063,K03933,ASV0542,1,0.001375676,0.000491535,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA,NA
331093,K03933,ASV2215,1,0.000925026,0.000330515,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,NA
331093,K03933,ASV1023,1,0.000925026,0.000330515,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,NA
106281,K01183,ASV0157,1,0.00944872,0.00011676,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,marinum
820370,K01183,ASV1543,1,0.002097938,2.59E-05,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,NA
820370,K01183,ASV0605,1,0.002097938,2.59E-05,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,NA
4432518,K01183,ASV1003,1,0.0015846,1.96E-05,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,NA
817734,K01183,ASV0372,1,0.001979761,2.45E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1104592,K01183,ASV3208,1,0.000633202,7.82E-06,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,auensis
823439,K01183,ASV1310,1,0.000422878,5.23E-06,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,NA
275246,K01183,ASV0613,3,21.48621989,0.79652857,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,NA
275246,K01183,ASV0004,3,21.48621989,0.79652857,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
913174,K01183,ASV0318,1,0.001293368,1.60E-05,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,NA
716006,K01183,ASV0674,1,0.001606746,1.99E-05,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA
646549,K01183,ASV0822,1,0.006447868,7.97E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K01183,ASV6270,1,0.006447868,7.97E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K01183,ASV0649,1,0.006447868,7.97E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K01183,ASV0554,1,0.006447868,7.97E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
581409,K01183,ASV0767,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,NA
581409,K01183,ASV1099,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
581409,K01183,ASV0742,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
581409,K01183,ASV0576,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,aquatile
746675,K01183,ASV4145,2,0.001394263,3.45E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
746675,K01183,ASV1906,2,0.001394263,3.45E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
12457,K01183,ASV1098,1,0.001293368,1.60E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,NA
807821,K01183,ASV4811,1,0.000646684,7.99E-06,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA
217732,K01183,ASV5364,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV3967,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV2453,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV1483,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV0018,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV0057,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV0870,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV0126,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV0364,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV5504,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV5301,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV1073,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV4436,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
217732,K01183,ASV4425,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
839235,K01183,ASV0336,1,0.004392473,5.43E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,NA
1033018,K01183,ASV0390,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
1033018,K01183,ASV1214,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
1033018,K01183,ASV1260,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
1033018,K01183,ASV1138,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
1033018,K01183,ASV1983,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA
854050,K01183,ASV0114,1,0.001500074,1.85E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
797229,K01183,ASV0008,1,0.642740323,0.007942471,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
1074016,K01183,ASV1060,2,0.009530544,0.000235542,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,radicis
1074016,K01183,ASV2289,2,0.009530544,0.000235542,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,NA
1074016,K01183,ASV2264,2,0.009530544,0.000235542,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,NA
208171,K01183,ASV0042,3,0.316325078,0.011726677,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
208171,K01183,ASV0040,3,0.316325078,0.011726677,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
352304,K01183,ASV0856,1,0.0001583,1.96E-06,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,inulinivorans
4481782,K01183,ASV2172,3,0.004335765,0.000160734,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
517156,K01183,ASV1581,1,0.001586196,1.96E-05,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,NA
517156,K01183,ASV2841,1,0.001586196,1.96E-05,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,NA
875867,K01183,ASV2846,1,0.000612469,7.57E-06,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,NA,NA
1106362,K01183,ASV1401,1,0.001905987,2.36E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,NA
211089,K01183,ASV2275,1,0.000949803,1.17E-05,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,NA
643362,K01183,ASV0595,2,0.002177665,5.38E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,NA
545460,K01183,ASV3830,1,0.000925027,1.14E-05,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,NA,NA
773575,K01183,ASV0762,1,0.012495444,0.000154409,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
773575,K01183,ASV0830,1,0.012495444,0.000154409,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
773575,K01183,ASV2966,1,0.012495444,0.000154409,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
828667,K01183,ASV0209,1,0.000275136,3.40E-06,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,NA
828667,K01183,ASV2739,1,0.000275136,3.40E-06,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paeniglutamicibacter,NA
4452842,K01183,ASV2401,1,0.001905988,2.36E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_9,NA
4452842,K01183,ASV2635,1,0.001905988,2.36E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_9,NA
359098,K01183,ASV0606,1,0.001439782,1.78E-05,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
877752,K01183,ASV1877,1,0.001911423,2.36E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
589277,K01183,ASV2398,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
589277,K01183,ASV0529,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,dorei
589277,K01183,ASV1534,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
589277,K01183,ASV0659,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus
589277,K01183,ASV1100,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus
624227,K01183,ASV0101,1,0.015353384,0.000189725,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Fodinicola,NA
1111517,K01183,ASV3373,1,0.000462513,5.72E-06,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Nov-24,NA,NA,NA
974121,K01183,ASV5585,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV1324,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV0186,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV1394,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV0495,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV1205,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV6268,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV2363,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1080980,K01183,ASV2945,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA
556915,K01183,ASV3884,1,0.000791502,9.78E-06,Bacteria,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,NA,NA,NA
220524,K01183,ASV2221,1,0.001267999,1.57E-05,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,NA
939811,K01183,ASV0556,3,2.03856254,0.075572777,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01183,ASV0024,3,2.03856254,0.075572777,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01183,ASV4239,3,2.03856254,0.075572777,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
4395040,K01183,ASV3670,1,0.000925027,1.14E-05,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),Paludibaculum,NA
410196,K01183,ASV0814,3,0.000476497,1.77E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA
511866,K01183,ASV0797,1,0.000422878,5.23E-06,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
585394,K01183,ASV1952,3,0.006971313,0.000258438,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
687206,K01183,ASV2150,1,0.000402285,4.97E-06,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,NA,NA
589071,K01183,ASV1104,2,0.001100289,2.72E-05,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
589071,K01183,ASV0942,2,0.001100289,2.72E-05,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
589071,K01183,ASV2191,2,0.001100289,2.72E-05,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
545538,K01183,ASV1532,1,0.001754386,2.17E-05,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,NA
940348,K01183,ASV1119,1,0.001347904,1.67E-05,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,NA
1012112,K01183,ASV3885,1,0.000791502,9.78E-06,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,phytolaccae
1051517,K01183,ASV1575,1,0.00473389,5.85E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
1051517,K01183,ASV0578,1,0.00473389,5.85E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
1051517,K01183,ASV1859,1,0.00473389,5.85E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
1051517,K01183,ASV0428,1,0.00473389,5.85E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,NA
1108523,K01183,ASV2044,1,0.000422878,5.23E-06,Bacteria,Acidobacteria,Holophagae,Subgroup_7,NA,NA,NA
991740,K01183,ASV3915,1,0.000952994,1.18E-05,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
1117491,K01183,ASV2302,1,0.000960061,1.19E-05,Bacteria,Actinobacteria,Thermoleophilia,NA,NA,NA,NA
1025153,K01183,ASV1725,1,0.000462513,5.72E-06,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,NA
781203,K01183,ASV0902,1,0.001583005,1.96E-05,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
1081489,K01183,ASV1063,1,0.000633202,7.82E-06,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible_genus_04,NA
1081489,K01183,ASV2290,1,0.000633202,7.82E-06,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible_genus_04,NA
590482,K01183,ASV0048,1,0.008974254,0.000110897,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
741010,K01183,ASV0342,3,0.000885391,3.28E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,gandavensis
814909,K01183,ASV1591,1,0.002020742,2.50E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
814909,K01183,ASV2851,1,0.002020742,2.50E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,pumilum
814909,K01183,ASV1861,1,0.002020742,2.50E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
814909,K01183,ASV0518,1,0.002020742,2.50E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
765455,K01183,ASV3148,1,0.004764968,5.89E-05,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
765455,K01183,ASV1404,1,0.004764968,5.89E-05,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
851567,K01183,ASV2277,1,0.001542219,1.91E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
851567,K01183,ASV1176,1,0.001542219,1.91E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,thalassium
1010927,K01183,ASV6330,3,1.121901039,0.041590668,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA
1010927,K01183,ASV0035,3,1.121901039,0.041590668,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA
585063,K01183,ASV2608,1,0.001375676,1.70E-05,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA,NA
585063,K01183,ASV0542,1,0.001375676,1.70E-05,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA,NA
310558,K01183,ASV1366,1,0.000137568,1.70E-06,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,NA,NA,NA
1074625,K01183,ASV1330,1,0.001754386,2.17E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,NA
1074625,K01183,ASV0590,1,0.001754386,2.17E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agreia,NA
1074625,K01183,ASV2533,1,0.001754386,2.17E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
1074625,K01183,ASV3578,1,0.001754386,2.17E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Frigoribacterium,NA
514272,K01183,ASV1987,1,0.000634797,7.84E-06,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,hadrus
814721,K01183,ASV2864,1,0.000952994,1.18E-05,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
331093,K01183,ASV2215,1,0.000925026,1.14E-05,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,NA
331093,K01183,ASV1023,1,0.000925026,1.14E-05,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,NA
325947,K01183,ASV1510,2,0.000952994,2.36E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,pigrum
325947,K01183,ASV2051,2,0.000952994,2.36E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,seohonense
