GG OTU,KEGG,ASV,Gene copies,Abundance (%),Contribution (%),Phylum,Class,Order,Family,Genus,Species,
1097359,K01452,ASV0266,1,0.005815695,0.000424733,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
579705,K01452,ASV0271,1,0.020823293,0.001520771,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,NA
593437,K01452,ASV0280,1,0.013546514,0.000989332,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
936354,K01452,ASV0315,1,0.006291472,0.00045948,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,NA
913174,K01183,ASV0318,1,0.001293368,1.60E-05,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,NA
839235,K01183,ASV0336,1,0.004392473,5.43E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,NA
839235,K03933,ASV0336,1,0.004392473,0.001569448,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,NA
741010,K01183,ASV0342,3,0.000885391,3.28E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,gandavensis
188150,K01452,ASV0343,1,0.044321912,0.003236927,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
722628,K01452,ASV0344,1,0.044165153,0.003225479,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1039092,K03791,ASV0358,1,0.001387244,0.021549209,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
217732,K01183,ASV0364,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
1848083,K01452,ASV0371,1,0.014942618,0.001091293,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
817734,K01183,ASV0372,1,0.001979761,2.45E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
817734,K03791,ASV0372,2,0.001979761,0.061506533,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
817734,K03933,ASV0372,1,0.001979761,0.000707376,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1033018,K01183,ASV0390,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
1033018,K03791,ASV0390,1,0.004957986,0.077016501,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
1097359,K01452,ASV0393,1,0.005815695,0.000424733,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
568345,K01452,ASV0400,1,10.62759507,0.776156817,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
705967,K01452,ASV0403,1,0.046795013,0.003417543,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thiobacimonas,NA
238484,K01452,ASV0411,1,0.001546059,0.000112912,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,NA
1111582,K03933,ASV0417,2,0.028290672,0.020216739,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
188150,K01452,ASV0425,1,0.044321912,0.003236927,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA
1051517,K01183,ASV0428,1,0.00473389,5.85E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,NA
1011088,K01452,ASV0436,1,0.359611369,0.026263215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV0458,1,0.359611369,0.026263215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
225487,K01452,ASV0486,1,0.002085637,0.000152319,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K01183,ASV0495,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV0495,1,0.001741305,0.027049132,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03933,ASV0495,2,0.001741305,0.00124435,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1111582,K03933,ASV0500,2,0.028290672,0.020216739,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,NA
814909,K01183,ASV0518,1,0.002020742,2.50E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
589277,K01183,ASV0529,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,dorei
585063,K01183,ASV0542,1,0.001375676,1.70E-05,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA,NA
585063,K03933,ASV0542,1,0.001375676,0.000491535,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA,NA
646549,K01183,ASV0554,1,0.006447868,7.97E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03791,ASV0554,1,0.006447868,0.100160071,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03933,ASV0554,2,0.006447868,0.004607698,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
939811,K01183,ASV0556,3,2.03856254,0.075572777,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01452,ASV0556,1,2.03856254,0.14888074,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K03933,ASV0556,1,2.03856254,0.728386503,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
580625,K01452,ASV0561,1,0.007736321,0.000565001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,NA
581409,K01183,ASV0576,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,aquatile
581409,K03791,ASV0576,1,0.002074334,0.032222347,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,aquatile
1051517,K01183,ASV0578,1,0.00473389,5.85E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
1074625,K01183,ASV0590,1,0.001754386,2.17E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agreia,NA
643362,K01183,ASV0595,2,0.002177665,5.38E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,NA
820370,K01183,ASV0605,1,0.002097938,2.59E-05,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,NA
359098,K01183,ASV0606,1,0.001439782,1.78E-05,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
275246,K01183,ASV0613,3,21.48621989,0.79652857,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,NA
512485,K01452,ASV0623,1,0.000646684,4.72E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
646549,K01183,ASV0649,1,0.006447868,7.97E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03791,ASV0649,1,0.006447868,0.100160071,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03933,ASV0649,2,0.006447868,0.004607698,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
580625,K01452,ASV0658,1,0.007736321,0.000565001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,broomeae
589277,K01183,ASV0659,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus
716006,K01183,ASV0674,1,0.001606746,1.99E-05,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA
716006,K03933,ASV0674,1,0.001606746,0.000574097,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA
1011088,K01452,ASV0700,1,0.359611369,0.026263215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1124040,K03791,ASV0705,1,0.005601416,0.087011432,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Aquaspirillaceae,Rivicola,NA
804175,K01452,ASV0712,1,0.000675311,4.93E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,NA
581409,K01183,ASV0742,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
581409,K03791,ASV0742,1,0.002074334,0.032222347,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
1097359,K01452,ASV0743,1,0.005815695,0.000424733,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
773900,K01452,ASV0757,1,0.433008484,0.031623569,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
773575,K01183,ASV0762,1,0.012495444,0.000154409,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
581409,K01183,ASV0767,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,NA
581409,K03791,ASV0767,1,0.002074334,0.032222347,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,NA
511866,K01183,ASV0797,1,0.000422878,5.23E-06,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
410196,K01183,ASV0814,3,0.000476497,1.77E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA
410196,K03933,ASV0814,1,0.000476497,0.000170254,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA
1011088,K01452,ASV0817,1,0.359611369,0.026263215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
646549,K01183,ASV0822,1,0.006447868,7.97E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03791,ASV0822,1,0.006447868,0.100160071,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03933,ASV0822,2,0.006447868,0.004607698,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
773575,K01183,ASV0830,1,0.012495444,0.000154409,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
352304,K01183,ASV0856,1,0.0001583,1.96E-06,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,inulinivorans
217732,K01183,ASV0870,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
854272,K01452,ASV0878,1,0.000550271,4.02E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
781203,K01183,ASV0902,1,0.001583005,1.96E-05,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
1065974,K03933,ASV0907,1,0.000952994,0.000340509,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,pasteurii
589071,K01183,ASV0942,2,0.001100289,2.72E-05,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
579705,K01452,ASV0978,1,0.020823293,0.001520771,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,NA
1097359,K01452,ASV0985,1,0.005815695,0.000424733,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
593437,K01452,ASV0999,1,0.013546514,0.000989332,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,NA
4432518,K01183,ASV1003,1,0.0015846,1.96E-05,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,NA
568345,K01452,ASV1013,1,10.62759507,0.776156817,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1039092,K03791,ASV1014,1,0.001387244,0.021549209,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
331093,K01183,ASV1023,1,0.000925026,1.14E-05,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,NA
331093,K03933,ASV1023,1,0.000925026,0.000330515,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,NA
1011088,K01452,ASV1024,1,0.359611369,0.026263215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ponticoccus,NA
562576,K03791,ASV1046,1,0.001394263,0.021658241,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,NA,NA
1074016,K01183,ASV1060,2,0.009530544,0.000235542,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,radicis
1074016,K03791,ASV1060,1,0.009530544,0.14804583,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,radicis
1081489,K01183,ASV1063,1,0.000633202,7.82E-06,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible_genus_04,NA
217732,K01183,ASV1073,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
854272,K01452,ASV1076,1,0.000550271,4.02E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,yeei
12457,K01183,ASV1098,1,0.001293368,1.60E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,NA
581409,K01183,ASV1099,2,0.002074334,5.13E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
581409,K03791,ASV1099,1,0.002074334,0.032222347,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
589277,K01183,ASV1100,1,0.000476497,5.89E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus
589071,K01183,ASV1104,2,0.001100289,2.72E-05,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
683891,K01452,ASV1117,1,0.001293368,9.45E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,NA
940348,K01183,ASV1119,1,0.001347904,1.67E-05,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,NA
705967,K01452,ASV1132,1,0.046795013,0.003417543,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thiobacimonas,NA
1033018,K01183,ASV1138,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
1033018,K03791,ASV1138,1,0.004957986,0.077016501,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
541859,K03791,ASV1143,1,0.000646684,0.010045478,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
593437,K01452,ASV1151,1,0.013546514,0.000989332,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
851567,K01183,ASV1176,1,0.001542219,1.91E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,thalassium
974121,K01183,ASV1205,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV1205,1,0.001741305,0.027049132,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03933,ASV1205,2,0.001741305,0.00124435,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1033018,K01183,ASV1214,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
1033018,K03791,ASV1214,1,0.004957986,0.077016501,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
813945,K01452,ASV1233,1,0.000646684,4.72E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1033018,K01183,ASV1260,2,0.004957986,0.000122534,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
1033018,K03791,ASV1260,1,0.004957986,0.077016501,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
823439,K01183,ASV1310,1,0.000422878,5.23E-06,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,NA
1039092,K03791,ASV1319,1,0.001387244,0.021549209,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
974121,K01183,ASV1324,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV1324,1,0.001741305,0.027049132,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03933,ASV1324,2,0.001741305,0.00124435,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1074625,K01183,ASV1330,1,0.001754386,2.17E-05,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,NA
582083,K01452,ASV1338,1,0.000550271,4.02E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,chinensis
1111582,K03933,ASV1339,2,0.028290672,0.020216739,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,cecorum
310558,K01183,ASV1366,1,0.000137568,1.70E-06,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,NA,NA,NA
568345,K01452,ASV1381,1,10.62759507,0.776156817,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
974121,K01183,ASV1394,2,0.001741305,4.30E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV1394,1,0.001741305,0.027049132,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03933,ASV1394,2,0.001741305,0.00124435,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1106362,K01183,ASV1401,1,0.001905987,2.36E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,NA
765455,K01183,ASV1404,1,0.004764968,5.89E-05,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
1097359,K01452,ASV1459,1,0.005815695,0.000424733,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
217732,K01183,ASV1483,1,5.192030749,0.064158964,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
804175,K01452,ASV1485,1,0.000675311,4.93E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,heliothermus
