GG OTU,KEGG,Sample,ASV,Gene copies,Abundance (%),Contribution (%),Phylum,Class,Order,Family,Genus,Species
275246,K01183,L14_8,ASV0004,3,0.245298446,0.805970149,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L14_9,ASV0004,3,0.248562996,0.88888889,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L14_B,ASV0004,3,0.084358524,0.571428571,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L16_9,ASV0004,3,4.933148916,0.823604875,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L16_B,ASV0004,3,0.270579664,0.962962962,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L17_8,ASV0004,3,2.53709541,0.863874345,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L17_9,ASV0004,3,0.19193858,0.339622642,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L18_9,ASV0004,3,1.34250794,0.804034582,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L18_B,ASV0004,3,0.11209715,0.692307696,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L19_8,ASV0004,3,1.2465847,0.78354204,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L19_B,ASV0004,3,0.055284254,0.600000009,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L1_B,ASV0004,3,0.226963232,0.555555556,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L20_7,ASV0004,3,0.898966858,0.316535433,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L20_8,ASV0004,3,1.502577094,0.326996198,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L20_9,ASV0004,3,1.446342678,0.528484848,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L20_B,ASV0004,3,0.277662086,0.674157305,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L2_B,ASV0004,3,0.182982616,1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L4_7,ASV0004,3,0.594866304,0.940438869,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L4_8,ASV0004,3,1.919720768,0.970588235,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L4_9,ASV0004,3,2.69190855,0.979031643,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L5_B,ASV0004,3,0.331400166,0.324324325,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L6_7,ASV0004,3,0.028772838,0.285714283,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L6_B,ASV0004,3,25.9569649,0.910366742,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L8_9,ASV0004,3,0.360144058,0.72,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L9_7,ASV0004,3,1.287327214,0.857142858,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L9_8,ASV0004,3,0.077564476,0.800000008,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L9_9,ASV0004,3,0.596906936,0.622641509,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L9_B,ASV0004,3,0.473884826,0.867924529,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S16_4,ASV0004,3,24.85083946,0.899021166,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S16_5,ASV0004,3,21.04956834,0.87712207,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S16_6,ASV0004,3,17.88003989,0.857077816,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S16_A,ASV0004,3,1.671103224,0.878238342,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S17_4,ASV0004,3,68.68137614,0.939090649,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S17_5,ASV0004,3,34.32295438,0.947158082,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S17_6,ASV0004,3,2.45145581,0.465213419,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S17_A,ASV0004,3,0.031186652,0.193548387,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S18_4,ASV0004,3,16.41705069,0.869786368,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S18_5,ASV0004,3,9.68579235,0.857315598,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S18_6,ASV0004,3,5.51011623,0.436611711,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S18_A,ASV0004,3,1.393788178,0.217255252,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S19_4,ASV0004,3,17.98684211,0.932469304,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S19_5,ASV0004,3,21.4423558,0.874805599,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S19_6,ASV0004,3,22.58166825,0.755197285,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S19_A,ASV0004,3,0.22206431,0.574712644,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_1_4,ASV0004,3,58.14325288,0.845619043,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_1_5,ASV0004,3,35.56622442,0.669107775,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_1_6,ASV0004,3,24.26412788,0.706001949,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_1_A,ASV0004,3,0.600956452,0.041887906,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_2_4,ASV0004,3,62.60223048,0.923920995,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_2_5,ASV0004,3,62.32532652,0.840946434,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_2_6,ASV0004,3,72.0868644,0.919197794,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_2_A,ASV0004,3,0.382546324,0.259459459,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_3_4,ASV0004,3,32.2555546,0.855472333,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_3_5,ASV0004,3,37.94510386,0.811421773,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_3_6,ASV0004,3,47.48121691,0.882757041,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_3_A,ASV0004,3,0.360835472,0.272727273,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_4_4,ASV0004,3,19.16196307,0.84112542,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_4_5,ASV0004,3,13.38128039,0.720545455,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_4_6,ASV0004,3,26.88999547,0.811598603,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,S20_4_A,ASV0004,3,0.08253549,0.212014132,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
797229,K01183,L10_7,ASV0008,1,0.00699888,0.002439024,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L11_8,ASV0008,1,0.005360206,0.003773585,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L11_9,ASV0008,1,0.00530307,0.001694915,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L12_B,ASV0008,1,0.018335167,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L13_9,ASV0008,1,0.012755102,0.019607843,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L14_7,ASV0008,1,0.008570449,0.011764706,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L16_9,ASV0008,1,0.023052098,0.001282874,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L16_B,ASV0008,1,0.031220731,0.037037038,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L17_8,ASV0008,1,0.061505343,0.006980803,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L18_9,ASV0008,1,0.238186893,0.047550432,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L18_B,ASV0008,1,0.018682858,0.038461538,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L19_8,ASV0008,1,0.008538251,0.001788909,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L20_7,ASV0008,1,5.548101436,0.651181102,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L20_8,ASV0008,1,8.805800646,0.63878327,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L20_9,ASV0008,1,3.310665119,0.403232323,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L20_B,ASV0008,1,0.305428294,0.247191011,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L3_B,ASV0008,1,0.004852484,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,L9_9,ASV0008,1,0.036176178,0.012578616,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S16_4,ASV0008,1,1.200222006,0.014473354,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S16_5,ASV0008,1,2.638471239,0.036647804,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S16_6,ASV0008,1,1.210998718,0.019349698,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S17_4,ASV0008,1,0.020913939,9.53E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S17_5,ASV0008,1,0.096548395,0.000888099,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S17_6,ASV0008,1,3.854646004,0.243832398,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S17_A,ASV0008,1,0.202713239,0.41935484,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S18_4,ASV0008,1,0.187211982,0.003306206,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S18_A,ASV0008,1,14.06693625,0.730889584,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S19_5,ASV0008,1,0.142949039,0.001944012,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S19_6,ASV0008,1,0.050745322,0.000565691,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S19_A,ASV0008,1,0.159886303,0.137931034,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_1_4,ASV0008,1,0.528690146,0.00256304,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_1_5,ASV0008,1,0.038926915,0.000244111,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_1_6,ASV0008,1,0.074242292,0.000720064,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_1_A,ASV0008,1,0.245461086,0.005703048,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_2_4,ASV0008,1,0.074349442,0.000365764,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_2_5,ASV0008,1,0.036533017,0.000164312,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_2_6,ASV0008,1,0.013241525,5.63E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_2_A,ASV0008,1,0.549910341,0.124324324,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_3_4,ASV0008,1,0.034581136,0.000305717,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_3_5,ASV0008,1,0.055637982,0.000396589,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_3_6,ASV0008,1,0.036950363,0.00022899,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_3_A,ASV0008,1,0.117965443,0.02972028,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_4_4,ASV0008,1,0.076533053,0.001119821,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_4_5,ASV0008,1,0.131685575,0.002363636,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_4_6,ASV0008,1,0.030179568,0.000303628,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K01183,S20_4_A,ASV0008,1,0.718058765,0.614840983,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L10_7,ASV0008,1,0.00699888,0.032258064,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L11_8,ASV0008,1,0.005360206,0.111111116,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L11_9,ASV0008,1,0.00530307,0.034482756,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L12_B,ASV0008,1,0.018335167,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L13_9,ASV0008,1,0.012755102,0.111111111,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L14_7,ASV0008,1,0.008570449,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L16_9,ASV0008,1,0.023052098,0.021739131,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L16_B,ASV0008,1,0.031220731,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L17_8,ASV0008,1,0.061505343,0.11111111,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L18_9,ASV0008,1,0.238186893,0.614906834,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L18_B,ASV0008,1,0.018682858,0.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L19_8,ASV0008,1,0.008538251,0.023809523,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L20_7,ASV0008,1,5.548101436,0.97985782,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L20_8,ASV0008,1,8.805800646,0.980544747,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L20_9,ASV0008,1,3.310665119,0.955023923,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L20_B,ASV0008,1,0.305428294,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L3_B,ASV0008,1,0.004852484,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,L9_9,ASV0008,1,0.036176178,0.137931036,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S16_4,ASV0008,1,1.200222006,0.508823529,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S16_5,ASV0008,1,2.638471239,0.666666667,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S16_6,ASV0008,1,1.210998718,0.397815913,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S17_4,ASV0008,1,0.020913939,0.005208333,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S17_5,ASV0008,1,0.096548395,0.106666667,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S17_6,ASV0008,1,3.854646004,0.773178808,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S17_A,ASV0008,1,0.202713239,0.764705883,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S18_4,ASV0008,1,0.187211982,0.087248322,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S18_A,ASV0008,1,14.06693625,0.990308904,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S19_5,ASV0008,1,0.142949039,0.102564103,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S19_6,ASV0008,1,0.050745322,0.012618297,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S19_A,ASV0008,1,0.159886303,0.342857143,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S20_1_4,ASV0008,1,0.528690146,0.098699764,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S20_1_5,ASV0008,1,0.038926915,0.004250797,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S20_1_6,ASV0008,1,0.074242292,0.018743109,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S20_1_A,ASV0008,1,0.245461086,0.698795181,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S20_2_4,ASV0008,1,0.074349442,0.058823529,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S20_2_5,ASV0008,1,0.036533017,0.009456265,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,S20_2_6,ASV0008,1,0.013241525,0.005952381,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
