Group,Class,Long,Short,Daily,Long_R,Short_R,Daily_R
ASV0059,Gammaproteobacteria,0.313534436,0.083319141,0.025340072,0.153473196,0.161365331,0.000867393
ASV0060,Cloacimonadia,0.298418508,0,0.000131909,0.36319492,0.071579236,0.002063387
ASV0061,Cloacimonadia,0.593062679,0.003921706,0,0.007263958,0,0
ASV0062,Deltaproteobacteria,0.015274132,0,0,0.250141487,1.058396162,0.830598483
ASV0063,Bacteroidia,0.03746988,0,0,0.091821632,1.375450805,0.98595526
ASV0064,Deltaproteobacteria,0.181900676,0.003336096,0.0035745,0.968701098,0,0
ASV0065,Alphaproteobacteria,0.168609977,0.215785423,0.102077325,0.102338505,0.081477404,0.106619065
ASV0066,Cloacimonadia,0.27281528,0.001454425,0.001107956,0.341756187,0.049737683,0
ASV0067,Gammaproteobacteria,0.002267349,0.02103224,0.044383469,0,0.150578666,0.139199656
ASV0068,Alphaproteobacteria,0.081130145,0.25348374,0.180382292,0.204430584,0.254312197,0.338170547
ASV0069,Gammaproteobacteria,0.234424098,0.156820716,0.016717572,0.124511603,0.041367654,0.03264071
ASV0070,Deltaproteobacteria,0.357318865,0.000422878,0,0,0,0
ASV0071,Spirochaetia,0.233190968,0.009859527,0,0.243994491,0.334913477,0
ASV0072,Gammaproteobacteria,0.042182561,0.159647722,0.085214265,0.058321719,0.23482786,0.483599314
ASV0073,Alphaproteobacteria,0.007195923,0.419573255,0.449605752,0,0.007743268,0
ASV0074,Deltaproteobacteria,0.204746902,0.035235675,0.005856115,0.148477038,0.022162023,0.009285243
ASV0075,Alphaproteobacteria,0,0,0,0,0,0
ASV0076,Alphaproteobacteria,0.006579523,0.341565161,0.517663995,0,0.000860363,0
ASV0077,Spirochaetia,0.319831269,0.057300341,0.004984734,0.013263388,0.006641031,0
ASV0078,Bacteroidia,0.327039239,0.010583544,0,0.001452792,0.002581089,0
ASV0079,Clostridia,0.226134241,0,0,0.782237678,0.000825355,0.001031694
ASV0080,Clostridia,0.16362409,0.302913269,0.160277914,0.04678235,0.000860363,0
ASV0081,Bacilli,0,0,0,0.405325174,0,0
ASV0082,Gammaproteobacteria,0.22431298,0.030020282,0.005743742,0.202689025,0.00607637,0
ASV0083,Bacteroidia,0.296270639,0,0,0.026909208,0,0
ASV0084,Deltaproteobacteria,0.112831187,0.033255031,0.009605748,0.451585143,0.110728783,0.015475405
ASV0085,Clostridia,0.008427975,0.007553147,0.028365092,0,0.075639176,0.07964286
ASV0086,Bacilli,0,0.00316601,0,0.311986208,0.007394262,0.159600305
ASV0087,Bacteroidia,0.152273963,0,0,0.777677796,0.008873114,0
ASV0088,Alphaproteobacteria,0.069577915,0.020239107,0.038484158,0.096495896,0.214248372,0.543119487
ASV0089,Bacilli,0.0006296,0.01256693,0.031453188,0,0.143062382,0.085234511
ASV0090,Alphaproteobacteria,0.269643528,0.122265133,0.085517009,0.015677548,0,0
ASV0091,Deltaproteobacteria,0.366414374,0,0,0.002670156,0,0
ASV0092,Gammaproteobacteria,0.053801049,0.180876618,0.192732771,0.024648591,0.002581089,0
ASV0093,Ignavibacteria,0.139294544,0.015320144,0,0.068872419,0.016750258,0
ASV0094,Gammaproteobacteria,0,0,0,0,0,0.004232088
ASV0095,Deltaproteobacteria,0.004983916,0,0,0.629906486,0.21450284,0.025792341
ASV0096,Bacilli,0.027721012,0.001943944,0.005675093,0.078838635,0.013310703,0.064588202
ASV0097,Bacteroidia,0.000358627,0.004911792,0.037588472,0.001633306,0.029051469,0.189071944
ASV0098,Gammaproteobacteria,0.107150263,0.048204597,0.046349649,0.056529224,0.064878457,0.673881325
ASV0099,Gammaproteobacteria,0.202876343,0,0.000727866,0.794275731,0.025301451,0.060030869
ASV0100,Gammaproteobacteria,0.000189159,0,0,0.286296584,0.015486535,0.017347859
ASV0101,Actinobacteria,0.000884976,0.015353384,0.041314894,0,0.086923168,0.079070677
ASV0102,Clostridia,0.260194492,0.018608381,0.006716066,0.059200258,0,0
ASV0103,Clostridia,0.044732343,0.511560353,0.400699012,0.001452792,0.004301815,0.011954573
ASV0104,Deltaproteobacteria,0.394302607,0.002419725,0.001886223,0.012534977,0.042373432,0.004501266
ASV0105,Deltaproteobacteria,0.278501065,0.063251091,0.01168892,0.028468058,0.001720726,0
ASV0106,Gammaproteobacteria,0.125072648,0.187327186,0.065265913,0,0.000860363,0
ASV0107,Alphaproteobacteria,0.181171838,0.003149222,0.003506122,0.251110227,0.014306884,0.003095081
ASV0108,Bacteroidia,0.00014487,0,0,0.66850739,0,0
ASV0109,Alphaproteobacteria,0.037617881,0.003065938,0.001688277,0.35638908,0,0.002116044
ASV0110,Deltaproteobacteria,0.044464693,0.280162994,0.155281785,0,0.007743268,0
ASV0111,Gammaproteobacteria,0.000814922,0.010360558,0.042418247,0.001633306,0.048919583,0.051188645
ASV0112,Bacteroidia,0,0,0,0.266315765,0,0.015613073
ASV0113,Gammaproteobacteria,0.017924224,0.062081068,0.07008537,0.019261904,0.03704025,0.574181562
ASV0114,Bacilli,0.036374158,0.001500074,0.003957262,0.010804869,0.006882905,0
ASV0115,Gammaproteobacteria,0.00053794,0.008514942,0.032666327,0,0.069623749,0.109737643
ASV0116,Gammaproteobacteria,0.147915852,0.062073675,0.004187555,0.085521477,0.011830819,0
ASV0117,NA,0.013020116,0,0,0.524121108,0.183391338,0.009285243
ASV0118,Bacteroidia,0.133806558,0.007379208,0,0.000605991,0,0
ASV0119,Bacteroidia,0.205251889,0,0,0,0,0
ASV0120,Alphaproteobacteria,0.120131219,0.094682871,0.053264829,0.163013097,0.274273474,0.106803236
ASV0121,Spirochaetia,0.126223765,0.003760613,0,0.062508718,0,0
ASV0122,Alphaproteobacteria,0.005402326,0.000697131,0,0.311073946,0.571948107,0.010316936
ASV0123,Alphaproteobacteria,0.124307599,0.000697131,0,0.247500626,0.004597518,0
ASV0124,NA,0.179425167,0.005906692,0,0.058408425,0,0
ASV0125,NA,0.002355902,0.378941116,0.438499818,0,0.03620298,0.049231645
ASV0126,Bacteroidia,0.026804751,0.106586369,0.093084662,0.439402949,0.041569903,0.048929979
ASV0127,Negativicutes,0,0,0,0.230064852,0.000825355,0.001031694
ASV0128,Bacilli,0.000723263,0.008071347,0.011054444,0.210325349,0.071558318,0.124465953
ASV0129,Gammaproteobacteria,0.013834723,0.330410747,0.082574491,0.024266885,0.009428986,0.001031694
ASV0130,Gammaproteobacteria,0.107050553,0.000646684,0,0.001452792,0.000825355,0.001031694
ASV0131,Chitinivibrionia,0.011242997,0.303046839,0.1938586,0,0.002546081,0.001031694
ASV0132,Deltaproteobacteria,0.155009239,0.000646684,0,0.043312126,0,0
ASV0133,Bacteroidia,0.412962576,0.008108838,0,0.002670156,0,0
ASV0134,Deltaproteobacteria,0.177339597,0.033231974,0.017235314,0.038293576,0,0
ASV0135,Gammaproteobacteria,0.021847281,0.003594767,0.019596614,0.008562871,0.082352608,0.048116247
ASV0136,Alphaproteobacteria,0.001317996,0.010309983,0.011787713,0.000816653,0.036995612,0.004336965
ASV0137,Gammaproteobacteria,0.023523531,0.114330416,0.122248583,0,0.000860363,0
ASV0138,Gammaproteobacteria,0.05923093,0.057031268,0.094952456,0,0.000860363,0
ASV0139,NA,0.067045596,0.012505181,0,0.226198805,0,0
ASV0140,Deltaproteobacteria,0.087716471,0.094236303,0.018300094,0.000815521,0.000860363,0
ASV0141,Alphaproteobacteria,0.018573516,0.160653129,0.233315529,0.066075701,0.008748403,0.002063387
ASV0142,Gammaproteobacteria,0.000896567,0.010130088,0.029477064,0,0.097359001,0.056875056
ASV0143,Gammaproteobacteria,0.000194411,0.001847483,0,0.001078539,0.105144819,0.632878052
ASV0144,Bacteroidia,0.197861489,0.003880105,0,0.001397299,0,0
ASV0145,Gammaproteobacteria,0.033592044,0.092141183,0.128848635,0,0.002581089,0
ASV0146,Cloacimonadia,0.025925016,0.332134615,0.317164815,0,0.005162178,0
ASV0147,Alphaproteobacteria,0.057998719,0.000402285,0.000761105,0.294002172,0.002957705,0
ASV0148,Bacteroidia,0,0.000462513,0.002206921,0.177258403,0,0
ASV0149,Gammaproteobacteria,0.103008873,0.032569935,0.00234928,0,0,0
ASV0150,Alphaproteobacteria,0.042068903,0.095136702,0.112756941,0.019930661,0.002581089,0
ASV0151,Alphaproteobacteria,0.159427598,0.010430317,0.000844138,0,0.001720726,0
ASV0152,Alphaproteobacteria,0.00025498,0.175699935,0.12480897,0.004271084,0.012870438,0.076599547
ASV0153,Deltaproteobacteria,0.123884548,0,0,0.012115705,0.036396968,0.016434577
ASV0154,Gammaproteobacteria,0.003300481,0.003987004,0.011060204,0,0.052723648,0.027639479
ASV0155,Bacteroidia,0.085069407,0,0,0.108893435,0.010673888,0
ASV0156,Bacilli,0,0,0,0.168124315,0,0
ASV0157,Bacteroidia,0.119500053,0.00944872,0,0.442170354,0.004436557,0
ASV0158,Bacteroidia,0.155866781,0,0,0.006595021,0.001478852,0
ASV0159,Bacteroidia,8.97E-05,0.003655574,0.015339718,0,0.069042327,0.090110843
ASV0160,Methanomicrobia,0.053057326,0.001779782,0.004824249,0.244255893,0.045794502,0.01715893
ASV0161,Cloacimonadia,0.106194372,0.000474901,0,0.043840917,0.021508736,0
ASV0162,Gammaproteobacteria,0.037378705,0.145994887,0.063265028,0.051851563,0.011830819,0
ASV0163,Alphaproteobacteria,0.001187739,0,0.002162606,0,0,0
ASV0164,Cloacimonadia,0.081221454,0,0,0.127352172,0.01002039,0.001031694
ASV0165,Deltaproteobacteria,0.359466939,0,0,0.338517609,0,0
ASV0166,Bacteroidia,0.08577751,0.012332622,0.000976047,0.264464359,0.032263011,0
ASV0167,Actinobacteria,0,0,0,0.160702868,0,0
ASV0168,Alphaproteobacteria,0.051050345,0.027723212,0.023745567,0.090040676,0.006602839,0.008253549
ASV0169,Bacilli,0,0,0.000791452,0.142149251,0.00165071,0.013339496
ASV0170,Gammaproteobacteria,0.073802996,0.050709772,0.019620954,0.017305102,0.009288953,0.005158468
ASV0171,Cloacimonadia,0.009317127,0,0.000270326,0.2686054,0.206281867,0.008253549
ASV0172,Alphaproteobacteria,0.052470651,0.075983868,0.075271734,0.042088793,0.004059942,0
ASV0173,Deltaproteobacteria,0.107752333,0,0,0.065561754,0.009355996,0
ASV0174,Spirochaetia,0.101612366,0.023270183,0.020812743,0.001452792,0,0
ASV0175,Cloacimonadia,0.25917788,0,0,0.286943675,0,0
ASV0176,Bacilli,0.00131934,0,0.001450996,0.07797651,0,0
ASV0177,Bacteroidia,0,0,0,0.148143497,0,0
ASV0178,Alphaproteobacteria,0.074794376,0,0,0.157889115,0.00607637,0
ASV0179,Spirochaetia,0.195565813,0,0,0.166560401,0,0
ASV0180,Bacilli,0,0,0,0.14072205,0,0.017347859
ASV0181,Gammaproteobacteria,0.00026897,0.002554323,0.01107205,0,0.04814968,0.10828229
ASV0182,Alphaproteobacteria,0.007733838,0.119904942,0.045742189,0.000666178,0.010254341,0.004179431
ASV0183,Alphaproteobacteria,0.000551792,0,0,0.208094232,0.327823855,0.004126775
ASV0184,Bacteroidia,0.010522714,0,0,0.043408923,0.543193792,0.127857489
ASV0185,NA,0.052421019,0.057984385,0.013541674,0.01107476,0.004301815,0
ASV0186,Gammaproteobacteria,0,0,0.00105527,0,0.000825355,0.00420576
ASV0187,Gammaproteobacteria,0.001490493,0.002062692,0.002551417,0,0.02236944,0.103957735
ASV0188,Deltaproteobacteria,0.105152731,0.00940653,0,0.036652787,0,0
ASV0189,Bacteroidia,0.0017497,0,0,0.126507325,0.137184594,0.263123387
ASV0190,Gammaproteobacteria,0.07048601,0.011165934,0.005176075,0.019264436,0.081659522,0.003856036
ASV0191,Clostridia,0.44049335,0,0,0.122943409,0.001478852,0
ASV0192,Alphaproteobacteria,0.005951559,0.025389418,0.073711336,0.107531556,0.034309499,0.003095081
ASV0193,Gammaproteobacteria,0,0.001774591,0.004134729,0.000816653,0.037860331,0.05483798
ASV0194,Cloacimonadia,0.003433414,0,0,0.04051833,0.681245341,0.22181413
ASV0195,Verrucomicrobiae,0.070584723,0.076589463,0.056637186,0.016962178,0.000860363,0
ASV0196,Clostridia,0,0.005058219,0.017789074,0,0.030412429,0.042214003
ASV0197,Alphaproteobacteria,0.04732716,0.007204753,0.006358479,0.09616909,0.078812859,0.059068696
ASV0198,Deltaproteobacteria,0.108610106,0.000402285,0,0.002512863,0,0
ASV0199,Deltaproteobacteria,0.174156992,0,0.000131909,0.257046247,0,0
ASV0200,Alphaproteobacteria,0.000994236,0.003984444,0.010970307,0,0.102383206,0.089659295
ASV0201,Phycisphaerae,0.156447025,0.001109197,0,0.070133699,0,0
ASV0202,Spirochaetia,0.094124167,0,0,0.119057495,0.028067987,0
ASV0203,Clostridia,0.000236106,0.004608864,0.010778686,0,0.013909725,0.034657468
ASV0204,Kiritimatiellae,0.122514418,0,0,0.073102978,0,0
ASV0205,Gammaproteobacteria,0.045305172,0.000462513,0.004066848,0.017794013,0.03355416,0.028566592
ASV0206,Actinobacteria,0,0,0,0.117886829,0,0.004336965
ASV0207,Gammaproteobacteria,0.006846427,0.003211403,0.002901992,0,0.062634655,0.300188615
ASV0208,Gammaproteobacteria,0.000181316,0.004366618,0.021248706,0,0.019825419,0.052223688
ASV0209,Actinobacteria,0,0.000137568,0.000263817,0,0.001720726,0
ASV0210,Mollicutes,0.0825383,0.002166916,0.000131909,0.007268663,0,0
ASV0211,Alphaproteobacteria,0.080987522,0.000804985,0,0.102105226,0.084718292,0.003095081
ASV0212,Alphaproteobacteria,0.040199882,0.057027999,0.052144022,0.036322219,0,0
ASV0213,Spirochaetia,0.100068929,0,0,0.080888169,0,0
ASV0214,Deltaproteobacteria,0,0,0,0.439646286,0,0
ASV0215,Cloacimonadia,0.06912994,0.001352088,0,0.030673303,0.009195035,0
ASV0216,Deltaproteobacteria,0.064547058,0,0,0.040660377,0.34351291,0.068374017
ASV0217,Bacteroidia,0.357872617,0,0,0.002905583,0,0
ASV0218,Cloacimonadia,0.048213816,0,0,0.110388982,0.038419954,0
ASV0219,Bacilli,0,0,0,0.093624406,0,0.076639794
ASV0220,Gammaproteobacteria,0.059660116,0.004639806,0.000844138,0.077228803,0.010351967,0
ASV0221,Cloacimonadia,0.075944909,0,0,0.062685492,0.009355996,0
ASV0222,Gammaproteobacteria,0.087088246,0.00943002,0,0.006746028,0.007716183,0
ASV0223,Gammaproteobacteria,8.97E-05,0.002320136,0.00395801,0,0.026978091,0.089234686
ASV0224,Clostridia,0.114746427,0,0,0.064350058,0.002957705,0
ASV0225,Deltaproteobacteria,0.079859357,0.002034224,0,0.044264141,0,0
ASV0226,NA,0.004145495,0,0,0.110788113,0.317900297,0.018570485
ASV0227,Bacteroidia,0.000448284,0.002301891,0.00745848,0,0.061127339,0.002063387
ASV0228,Alphaproteobacteria,0.021456817,0.03796864,0.043776102,0.015521876,0.113133749,0.188926012
ASV0229,Gammaproteobacteria,0.011658151,0.051687385,0.09344495,0.013350778,0,0
ASV0230,NA,0.030161385,0.011982098,0.0015455,0.134005218,0.089054307,0.003095081
ASV0231,Alphaproteobacteria,0.045608646,0.006315169,0,0.091975879,0.017746229,0
ASV0232,Alphaproteobacteria,0.02398491,0.120418788,0.022171315,0.007589294,0.002581089,0
ASV0233,Bacteroidia,0,0,0,0,0.005329543,0
ASV0234,Alphaproteobacteria,0.021149223,0,0,0.019494127,0,0.017986373
ASV0235,Gammaproteobacteria,0.003609935,0.001533594,0.00942089,0.00244996,0,0
ASV0236,Alphaproteobacteria,0.006706426,0,0,0.211225402,0.003118665,0
ASV0237,Alphaproteobacteria,0.081285945,0.008740887,0.000844138,0.008827672,0,0
ASV0238,Gammaproteobacteria,0.033568076,0.009534399,0.000628741,0.097691224,0.014035293,0.006348132
ASV0239,Deltaproteobacteria,8.50E-05,0,0,0.141896596,0.076621579,0.014450174
ASV0240,Bacilli,0.018226509,0.001254016,0.003297718,0.043565444,0.004441286,0
ASV0241,Clostridia,0.000179313,0.003043304,0.006109814,0,0.036995612,0.020920502
ASV0242,Phycisphaerae,0.073402103,0.004821692,0.000131909,0.004301604,0,0
ASV0243,Alphaproteobacteria,0.087472351,0.003333094,0.002485496,0.016930329,0,0
ASV0244,Alphaproteobacteria,0.028634505,0.011566072,0.012338923,0.084976888,0.007394262,0
ASV0245,Alphaproteobacteria,0.04885415,0.014888534,0.003252855,0.055845452,0.00772708,0.002063387
ASV0246,Cloacimonadia,0.066931478,0,0,0.05182083,0.018711991,0
ASV0247,Gammaproteobacteria,0.002352961,0.000952994,0.001538843,0,0,0.067915607
ASV0248,Erysipelotrichia,0,0.003423571,0.007449285,0,0.011249682,0
ASV0249,Gammaproteobacteria,0.056642661,0,0,0.026909208,0,0
ASV0250,Clostridia,0,0.000697131,0,0.058598773,0.236147635,0.017374491
ASV0251,Gammaproteobacteria,0.00026897,0.000825406,0.002934534,0,0,0.035038726
ASV0252,Alphaproteobacteria,0.075072409,0,0,0.032209044,0.00623733,0
ASV0253,Campylobacteria,8.97E-05,0.002340533,0.018768204,0,0.020429917,0.029748616
ASV0254,Alphaproteobacteria,0.002813347,0.004711349,0.007370049,0.000816653,0.042602973,0.029174051
ASV0255,Alphaproteobacteria,0.034904424,0.120129703,0.091397777,0,0,0
ASV0256,Gammaproteobacteria,0.000181316,0.002050623,0.003473412,0,0.050519548,0.073429284
ASV0257,Bacteroidia,0,0,0,0.213953542,0.013631592,0
ASV0258,Calditrichia,0.110048549,0,0,0.037772749,0,0
ASV0259,Bacteroidia,0.045792596,0,0,0.049228456,0.044020902,0.043331133
ASV0260,Spirochaetia,0.106618847,0,0,0.053818417,0,0
ASV0261,Deltaproteobacteria,0.006627598,0.075205558,0.058925775,0.002670156,0.000860363,0
ASV0262,Phycisphaerae,0.0681893,0.000697131,0,0,0,0
ASV0263,Alphaproteobacteria,0.048187081,0.012511101,0,0.055047317,0.003118665,0
ASV0264,Clostridia,0.000179313,0.003031201,0.008865528,0.000816653,0.028080091,0.040714707
ASV0265,Gammaproteobacteria,0.0056311,0.008780369,0.001582905,0.004147544,0.002476065,0.003095081
ASV0266,Gammaproteobacteria,0.019308519,0,0,0,0.004252579,0.099497684
ASV0267,Gammaproteobacteria,8.97E-05,0.001108103,0.011527453,0,0.024206572,0.020562224
ASV0268,Bacilli,0.000289741,0,0,0.000612171,0,0
ASV0269,NA,0.069345723,0,0,0.011542737,0,0
ASV0270,Bacteroidia,0.064621238,0,0,0,0,0
ASV0271,Alphaproteobacteria,0.051360708,0.009857048,0.002233984,0.037612665,0.001478852,0
ASV0272,Clostridia,0.000717254,0.00142949,0.004788276,0,0.015100373,0.036243276
ASV0273,Bacteroidia,8.97E-05,0.002225097,0.004946147,0,0.02163432,0.002063387
ASV0274,Gammaproteobacteria,0.024579381,0.020953663,0.011784831,0.035183214,0.055760506,0.125544013
ASV0275,Cloacimonadia,0,0,0,0.16221469,0.012773189,0
ASV0276,Gammaproteobacteria,0.048615151,0.002738078,0,0.043675281,0.001478852,0
ASV0277,Cloacimonadia,0.14842815,0,0,0.122637173,0,0
ASV0278,Bacteroidia,8.97E-05,0.003435373,0.008652608,0,0,0.042860882
ASV0279,Bacteroidia,0.000270973,0,0.009790141,0,0.006217801,0.040837496
ASV0280,Alphaproteobacteria,0.036576392,0.005972519,0.005849223,0.017510093,0.011521037,0.005158468
ASV0281,Gammaproteobacteria,0.024710369,0.042073653,0.012069962,0,0.000860363,0
ASV0282,Alphaproteobacteria,0.071091376,0,0,0,0,0
ASV0283,Mollicutes,0.045969763,0,0,0.086931201,0,0
ASV0284,Phycisphaerae,0.001222168,0,0,0.171659206,0,0
ASV0285,Bacteroidia,0,0.002139134,0.009537838,0,0.042157791,0
ASV0286,Gammaproteobacteria,0.047146606,0,0,0.180826953,0.006901725,0.001031694
ASV0287,Bacteroidia,0.056790561,0,0.00036782,0.005381842,0,0
ASV0288,Deltaproteobacteria,0.045482695,0.029582938,0.007656808,0,0.000860363,0
ASV0289,Gammaproteobacteria,0.009879394,0,0,0.026346309,0.062659054,0.158220564
ASV0290,Clostridia,0.000179313,0.003433702,0.006653684,0,0.039569587,0.022020629
ASV0291,NA,0.025149884,0.039464909,0.011470895,0.007897674,0,0
ASV0292,Woesearchaeia,0.003868025,0.097017499,0.116648818,0.003693531,0,0
ASV0293,Alphaproteobacteria,0.044557742,0,0,0.07684276,0.003118665,0
ASV0294,Actinobacteria,8.97E-05,0.001427895,0.004509157,0.016145525,0.016570052,0.040837496
ASV0295,Gammaproteobacteria,0.080743432,0.004837742,0.002273365,0,0,0
ASV0296,Clostridia,0,0.005576092,0.004352484,0,0,0.004232088
ASV0297,Gammaproteobacteria,0,0.001120009,0.004398987,0,0,0.014812307
ASV0298,Gammaproteobacteria,0.042530477,0.004222648,0.007861529,0.033241969,0.002957705,0
ASV0299,Alphaproteobacteria,0.055176925,0.00748346,0.000844138,0.023610106,0,0
ASV0300,NA,0.019572681,0.006102672,0,0.081069511,0,0
ASV0301,Alphaproteobacteria,0.008519792,0.005155935,0.001911684,0.131112917,0.004436557,0
ASV0302,Gammaproteobacteria,0.000415577,0,0,0,0,0.150058983
ASV0303,Clostridia,0.000181316,0.00201009,0.004754198,0,0.003553029,0.091848978
ASV0304,Alphaproteobacteria,0.001993144,0,0,0.147836419,0.134305912,0.005158468
ASV0305,Deltaproteobacteria,0.025864044,0,0,0.434631634,0,0
ASV0306,Gammaproteobacteria,0.002943943,0,0,0,0.023661639,0.007806537
ASV0307,Gammaproteobacteria,0,0.004442619,0.000891568,0,0,0.019374645
ASV0308,Gammaproteobacteria,0.000675452,0,0,0.000549496,0,0
ASV0309,Bacteroidia,0.000179313,0.000476497,0.012914234,0,0,0.011638241
ASV0310,Alphaproteobacteria,0.002766387,0,0,0.124801722,0.054517955,0.004126775
ASV0311,Alphaproteobacteria,0.00835103,0.048598269,0.017099109,0.005329425,0,0.002988643
ASV0312,Gammaproteobacteria,0.012384357,0.002127309,0,0.046526894,0.028117396,0.000867393
ASV0313,Deltaproteobacteria,0.083237319,0.011686881,0,0,0.003118665,0
