Class,ASVs predicted,Total ASVs,,,Original,,,,,,PICRUSt,,,
Mollicutes,5,124,0.6018754249999999,0.054622401,0.024114843,0.583009865,0.061304556999999996,0.035176542,0.0,0.0,0.0025192829999999998,0.0,0.005329543,0.035176542
NA,19,440,19.388243808999988,11.336351755,4.189995798999998,8.028897062000011,23.15655961100001,25.484409247000013,0.6398927749999999,0.011106310999999999,0.0071267810000000004,0.142399263,0.054085403,0.01751216
Negativicutes,21,23,0.000687907,0.007943839,0.012667811000000001,0.292290829,0.032056025,0.077372442,0.000687907,0.007943839,0.012667811000000001,0.292290829,0.01656949,0.077372442
Other,0,205,0.5213501290000001,0.04053394299999999,0.07150194200000001,1.2948099030000007,0.29561808500000003,0.48146019,0,0,0,0,0,0
Parcubacteria,1,119,0.0055546599999999995,0.009842481000000002,0.036779637,0.004873532,0.12088726300000004,0.137894498,0.0,0.0,0.000395726,0.0,0.0,0.0
Phycisphaerae,10,23,0.3033788499999999,0.00662802,0.000131909,0.26582887499999996,0.00770826,0.001031694,0.30009174899999996,0.00662802,0.000131909,0.26141130100000004,0.000825355,0.001031694
Planctomycetacia,12,22,0.003066694,0.0,0.006709757,0.008953966,0.000825355,0.012012297,0.0016361420000000002,0.0,0.0,0.008953966,0.000825355,0.008838231
Saccharimonadia,13,30,0.008460254,0.003432816,0.037965641999999994,0.001958414,0.034374459999999996,0.048757484000000004,0.008460254,0.002693337,0.019267048999999998,0.001141761,0.020648714,0.008193001
Spirochaetia,26,68,1.631903332000001,0.115047346,0.034293241,0.954261416,0.47965417500000007,0.042746718,0.8651599219999999,0.08339487300000001,0.032771032,0.34139808,0.09258254499999999,0.042746718
Verrucomicrobiae,34,51,0.144828068,0.10747515999999999,0.11812791199999997,0.114155035,0.10198749700000001,0.191860363,0.142793599,0.10269739399999998,0.11386379599999998,0.113023762,0.08564059900000001,0.153956996
Woesearchaeia,0,48,0.030978036999999996,0.138391414,0.14589737900000002,0.009033843,0.064475798,0.051644895999999996,0,0,0,0,0,0
